iter	Passed	Remaining
0	0	72
1	1	66
2	1	63
3	2	59
4	3	57
5	3	56
6	4	54
7	4	53
8	5	52
9	5	51
10	6	50
11	6	49
12	7	48
13	7	47
14	8	47
15	8	46
16	9	45
17	9	45
18	10	44
19	10	43
20	11	43
21	11	42
22	12	41
23	12	41
24	13	40
25	13	39
26	14	39
27	15	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	21	32
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	25	28
48	26	27
49	27	27
50	27	26
51	28	26
52	29	25
53	29	25
54	29	24
55	30	24
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	37	18
67	37	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	57	0
